hour,system_mw,peak_hour
0,79074.29,18
1,77422.05,18
2,76641.35,18
3,76513.06,18
4,78762.484,18
5,83465.55,18
6,90831.266,18
7,95380.84,18
8,97386.02,18
9,97496.3,18
10,96727.3,18
11,96428.8,18
12,95935.836,18
13,95441.95,18
14,94924.555,18
15,95153.95,18
16,97264.19,18
17,100381.06,18
18,101479.8,18
19,101371.91,18
20,99997.43,18
21,96390.23,18
22,90890.21,18
23,86565.71,18
