hour,system_mw,peak_hour
0,78340.195,18
1,76163.53,18
2,75842.305,18
3,76089.195,18
4,78018.98,18
5,82968.41,18
6,90144.336,18
7,95337.3,18
8,97842.055,18
9,97164.81,18
10,97304.42,18
11,95789.734,18
12,95790.195,18
13,95248.78,18
14,95067.42,18
15,95172.766,18
16,96747.195,18
17,101044.266,18
18,101874.77,18
19,101595.09,18
20,99251.89,18
21,95809.73,18
22,91064.22,18
23,87645.805,18
